filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/59_benign.png,87.4005,93.2767,83.3011,93.2767
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/154_benign.png,65.3520,79.0459,77.4616,79.0459
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/53_malignant.png,63.5751,77.7320,66.5435,77.7320
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/24_benign.png,85.7045,92.3020,88.1793,92.3020
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/72_benign.png,85.5733,92.2259,77.4345,92.2259
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/73_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/134_benign.png,84.3913,91.5350,89.6257,91.5350
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/75_malignant.png,36.9794,53.9927,18.4406,53.9927
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/186_benign.png,88.4758,93.8856,79.3476,93.8856
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/55_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/392_benign.png,78.0049,87.6435,47.1245,87.6435
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/209_malignant.png,33.9142,50.6507,46.5368,50.6507
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/374_benign.png,44.8210,61.8985,60.7931,61.8985
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/198_malignant.png,21.5769,35.4951,20.6488,35.4951
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/102_malignant.png,69.2718,81.8468,59.4024,81.8468
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/293_benign.png,61.2520,75.9706,68.1516,75.9706
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/337_benign.png,79.4866,88.5710,83.4581,88.5710
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/435_benign.png,85.5885,92.2347,89.3040,92.2347
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/103_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/41_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/165_malignant.png,83.3589,90.9243,31.5615,90.9243
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/240_benign.png,76.2366,86.5162,67.1553,86.5162
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/428_benign.png,76.7038,86.8162,75.5097,86.8162
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/13_malignant.png,7.0818,13.2269,-2.2679,13.2269
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/128_malignant.png,78.9438,88.2331,35.1276,88.2331
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/71_malignant.png,77.5069,87.3283,48.9687,87.3283
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/210_benign.png,38.8775,55.9882,41.0712,55.9882
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/387_benign.png,73.4189,84.6723,71.2268,84.6723
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/55_benign.png,74.4510,85.3546,81.6070,85.3546
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/48_malignant.png,84.7999,91.7749,82.9058,91.7749
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/80_benign.png,85.6239,92.2552,54.9991,92.2552
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/299_benign.png,0.0630,0.1260,-10.8413,0.1260
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/54_benign.png,84.5474,91.6268,78.1980,91.6268
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/187_malignant.png,45.2043,62.2630,40.5499,62.2630
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/411_benign.png,89.6389,94.5364,74.0157,94.5364
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/4_malignant.png,63.9405,78.0045,65.1888,78.0045
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/190_benign.png,80.0162,88.8989,72.5410,88.8989
CRIS.pytorch/exp/busi_80_10_10_p6_fn_frozen/CRIS_R50/pred/199_malignant.png,79.0206,88.2810,75.8118,88.2810
