filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/55_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/53_malignant.png,48.6425,65.4490,54.2605,65.4490
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/24_benign.png,85.6122,92.2485,88.1258,92.2485
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/198_malignant.png,13.7660,24.2006,9.3543,24.2006
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/72_benign.png,87.0862,93.0974,78.3060,93.0974
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/41_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/392_benign.png,76.3440,86.5853,46.0662,86.5853
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/102_malignant.png,73.0885,84.4522,62.0078,84.4522
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/73_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/209_malignant.png,25.0624,40.0798,35.9659,40.0798
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/154_benign.png,65.7714,79.3519,77.7676,79.3519
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/59_benign.png,87.6331,93.4090,83.4334,93.4090
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/75_malignant.png,24.2205,38.9960,3.4440,38.9960
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/435_benign.png,87.2525,93.1924,90.2617,93.1924
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/103_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/134_benign.png,84.8855,91.8249,89.9156,91.8249
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/186_benign.png,90.7232,95.1360,80.5980,95.1360
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/293_benign.png,57.6787,73.1598,65.3409,73.1598
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/374_benign.png,47.3244,64.2452,63.1397,64.2452
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/337_benign.png,80.4510,89.1666,84.0537,89.1666
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/165_malignant.png,82.7726,90.5744,31.2117,90.5744
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/240_benign.png,75.4777,86.0254,66.6646,86.0254
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/71_malignant.png,80.2867,89.0656,50.7059,89.0656
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/428_benign.png,78.8737,88.1892,76.8827,88.1892
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/13_malignant.png,10.9637,19.7609,4.2661,19.7609
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/87_malignant.png,86.2024,92.5900,72.9148,92.5900
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/128_malignant.png,84.1698,91.4046,38.2991,91.4046
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/187_malignant.png,50.5747,67.1755,45.4624,67.1755
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/387_benign.png,79.3788,88.5041,75.0586,88.5041
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/199_malignant.png,75.8535,86.2690,73.7998,86.2690
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/48_malignant.png,83.3535,90.9211,82.0520,90.9211
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/299_benign.png,0.0000,0.0000,-10.9673,0.0000
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/210_benign.png,19.5141,32.6557,17.7386,32.6557
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/411_benign.png,92.0799,95.8767,75.3559,95.8767
CRIS.pytorch/exp/busi_80_10_10_p5_fn_frozen/CRIS_R50/pred/55_benign.png,77.1609,87.1083,83.3607,87.1083
