filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/55_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/154_benign.png,0.0000,0.0000,-1.5843,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/72_benign.png,0.0000,0.0000,-14.7914,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/103_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/59_benign.png,0.6911,1.3727,-8.6029,1.3727
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/102_malignant.png,44.6021,61.6894,39.2450,61.6894
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/186_benign.png,70.9132,82.9816,68.4436,82.9816
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/24_benign.png,3.0355,5.8922,1.7695,5.8922
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/134_benign.png,5.3735,10.1990,8.2896,10.1990
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/198_malignant.png,0.0000,0.0000,-14.8462,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/435_benign.png,3.4744,6.7156,3.7849,6.7156
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/392_benign.png,31.7325,48.1771,7.6581,48.1771
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/374_benign.png,0.2821,0.5627,-0.5428,0.5627
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/53_malignant.png,13.1093,23.1798,11.9913,23.1798
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/293_benign.png,0.0000,0.0000,-7.8190,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/209_malignant.png,5.0024,9.5281,5.4142,9.5281
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/337_benign.png,1.9375,3.8014,-1.3115,3.8014
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/41_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/75_malignant.png,27.3353,42.9344,7.3823,42.9344
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/73_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/165_malignant.png,50.3876,67.0103,7.6476,67.0103
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/128_malignant.png,38.4488,55.5422,2.4367,55.5422
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/240_benign.png,0.0000,0.0000,-19.3609,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/299_benign.png,7.7750,14.4281,3.4609,14.4281
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/387_benign.png,17.7954,30.2140,16.7686,30.2140
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/71_malignant.png,44.9578,62.0289,23.6692,62.0289
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/4_malignant.png,10.2397,18.5771,5.7614,18.5771
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/13_malignant.png,10.8606,19.5933,4.0985,19.5933
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/187_malignant.png,23.2678,37.7516,16.0385,37.7516
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/210_benign.png,2.1049,4.1230,-10.7940,4.1230
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/428_benign.png,0.0000,0.0000,-11.3065,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/55_benign.png,0.0000,0.0000,-3.7476,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/199_malignant.png,39.0351,56.1514,43.6823,56.1514
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/48_malignant.png,23.4967,38.0524,29.1833,38.0524
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/80_benign.png,40.0439,57.1876,19.9315,57.1876
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/411_benign.png,52.7594,69.0751,48.5544,69.0751
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/87_malignant.png,7.5653,14.0664,-5.6087,14.0664
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/54_benign.png,19.8978,33.1912,19.7625,33.1912
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/190_benign.png,4.0270,7.7423,-8.6156,7.7423
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/12_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/333_benign.png,41.2576,58.4147,38.4652,58.4147
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/270_benign.png,66.1816,79.6497,75.3001,79.6497
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/141_benign.png,37.6036,54.6550,-13.1549,54.6550
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/49_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/49_benign.png,72.7307,84.2128,35.7797,84.2128
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/116_malignant.png,0.0000,0.0000,-10.2055,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/426_benign.png,0.0859,0.1716,-47.1414,0.1716
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/66_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/60_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/169_malignant.png,0.0000,0.0000,-1.0070,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/23_benign.png,20.3944,33.8793,25.8745,33.8793
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/239_benign.png,21.8162,35.8182,31.2244,35.8182
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/71_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/308_benign.png,11.9019,21.2720,18.0717,21.2720
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/133_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/129_benign.png,8.7137,16.0306,13.2175,16.0306
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/53_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/286_benign.png,6.0834,11.4691,-10.8940,11.4691
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/13_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/219_benign.png,0.0244,0.0489,-4.9081,0.0489
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/116_benign.png,0.0000,0.0000,-2.4132,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/264_benign.png,13.0852,23.1422,6.6328,23.1422
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/64_malignant.png,20.8232,34.4689,21.5546,34.4689
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/244_benign.png,0.0000,0.0000,-4.0294,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/138_benign.png,0.7593,1.5071,0.6181,1.5071
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/220_benign.png,22.6783,36.9720,30.8104,36.9720
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/227_benign.png,22.8199,37.1599,32.1814,37.1599
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/214_benign.png,36.8790,53.8856,43.2840,53.8856
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/356_benign.png,17.7500,30.1487,4.3022,30.1487
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/129_malignant.png,30.5675,46.8226,-10.0336,46.8226
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/20_benign.png,0.0000,0.0000,-8.2453,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/38_normal.png,0.0000,0.0000,0.0000,-100.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/96_malignant.png,46.1972,63.1985,28.1183,63.1985
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/290_benign.png,49.0668,65.8320,42.4585,65.8320
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/140_malignant.png,8.7737,16.1320,-4.6981,16.1320
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/65_benign.png,0.7716,1.5314,-6.5396,1.5314
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/431_benign.png,0.0000,0.0000,-3.1902,0.0000
CRIS.pytorch/exp/busi_80_10_10_p0_fn_frozen/CRIS_R50/pred/30_malignant.png,42.6255,59.7726,18.1791,59.7726
