filename,iou,dice,ones_dice_diff,zeros_dice_diff
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/73_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/72_benign.png,87.7419,93.4708,78.6794,93.4708
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/55_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/75_malignant.png,0.7029,1.3960,-34.1560,1.3960
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/186_benign.png,87.6208,93.4020,78.8640,93.4020
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/53_malignant.png,61.7765,76.3727,65.1841,76.3727
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/154_benign.png,69.8061,82.2186,80.6342,82.2186
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/102_malignant.png,73.0441,84.4225,61.9781,84.4225
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/209_malignant.png,43.1857,60.3213,56.2074,60.3213
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/337_benign.png,25.1075,40.1375,35.0246,40.1375
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/41_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/24_benign.png,85.4497,92.1540,88.0313,92.1540
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/59_benign.png,88.4930,93.8953,83.9196,93.8953
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/198_malignant.png,1.5522,3.0569,-11.7894,3.0569
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/103_normal.png,100.0000,100.0000,100.0000,0.0000
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/392_benign.png,45.2096,62.2680,21.7490,62.2680
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/435_benign.png,82.4960,90.4085,87.4779,90.4085
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/134_benign.png,86.5660,92.7994,90.8900,92.7994
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/374_benign.png,46.0163,63.0290,61.9235,63.0290
CRIS.pytorch/exp/busi_80_10_10_p3_fn_frozen/CRIS_R50/pred/293_benign.png,83.1884,90.8228,83.0038,90.8228
